valueid,datavalue,valuedatetime,utc_offset
967611239,15.6,2025-06-04 08:15:00,-5
967612030,15.6,2025-06-04 08:16:00,-5
967612170,15.6,2025-06-04 08:17:00,-5
967612296,15.6,2025-06-04 08:18:00,-5
967612446,15.6,2025-06-04 08:19:00,-5
967616737,15.7,2025-06-04 08:30:00,-5
967622013,15.8,2025-06-04 08:45:00,-5
967627613,15.9,2025-06-04 09:00:00,-5
967633197,16.1,2025-06-04 09:15:00,-5
967638632,16.3,2025-06-04 09:30:00,-5
967644167,16.4,2025-06-04 09:45:00,-5
967649698,16.6,2025-06-04 10:00:00,-5
967655591,16.73,2025-06-04 10:15:00,-5
967661290,16.9,2025-06-04 10:30:00,-5
967666883,17.2,2025-06-04 10:45:00,-5
967671982,17.5,2025-06-04 11:00:00,-5
967677845,17.7,2025-06-04 11:15:00,-5
967683852,17.9,2025-06-04 11:30:00,-5
967688541,17.9,2025-06-04 11:45:00,-5
967693990,17.9,2025-06-04 12:00:00,-5
967699496,17.97,2025-06-04 12:15:00,-5
967704941,18.0,2025-06-04 12:30:00,-5
967710278,18.0,2025-06-04 12:45:00,-5
967715809,18.1,2025-06-04 13:00:00,-5
967721455,18.2,2025-06-04 13:15:00,-5
967726727,18.2,2025-06-04 13:30:00,-5
967732350,18.3,2025-06-04 13:45:00,-5
967737940,18.3,2025-06-04 14:00:00,-5
967743501,18.4,2025-06-04 14:15:00,-5
967749022,18.4,2025-06-04 14:30:00,-5
967754567,18.4,2025-06-04 14:45:00,-5
967759827,18.5,2025-06-04 15:00:00,-5
967765640,18.5,2025-06-04 15:15:00,-5
967770801,18.6,2025-06-04 15:30:00,-5
967776141,18.62,2025-06-04 15:45:00,-5
967781614,18.7,2025-06-04 16:00:00,-5
967787102,18.7,2025-06-04 16:15:00,-5
967792393,18.7,2025-06-04 16:30:00,-5
967797790,18.7,2025-06-04 16:45:00,-5
967803135,18.7,2025-06-04 17:00:00,-5
967808739,18.7,2025-06-04 17:15:00,-5
967813990,18.8,2025-06-04 17:30:00,-5
967819593,18.8,2025-06-04 17:45:00,-5
967824943,18.8,2025-06-04 18:00:00,-5
967830661,18.7,2025-06-04 18:15:00,-5
967836221,18.7,2025-06-04 18:30:00,-5
967841895,18.7,2025-06-04 18:45:00,-5
967846845,18.6,2025-06-04 19:00:00,-5
967852734,18.6,2025-06-04 19:15:00,-5
967858086,18.5,2025-06-04 19:30:00,-5
967863712,18.5,2025-06-04 19:45:00,-5
967868996,18.4,2025-06-04 20:00:00,-5
967874397,18.4,2025-06-04 20:15:00,-5
967879593,18.4,2025-06-04 20:30:00,-5
967885032,18.3,2025-06-04 20:45:00,-5
967890536,18.3,2025-06-04 21:00:00,-5
967896018,18.3,2025-06-04 21:15:00,-5
967901220,18.2,2025-06-04 21:30:00,-5
967906861,18.2,2025-06-04 21:45:00,-5
967912516,18.1,2025-06-04 22:00:00,-5
